Razón Social;Marca;Importe;Fecha;Provincia;CC.AA.;CIF;Sitio web;Sector;Tamaño de la empresa;Sede;Tipo;Dirección;Constitución;CNAE;SIC;Twitter_90d;Twitter_90d_enisa
KNOWLEDGEFY TECHNOLOGIES, S.L.;KNOWLEDGEFY;208.000,00 €;26/01/2021;Málaga;Andalucía;B93457547;;;;;;B93457547;5 años, 2 meses y 11 dias;7219 Otra investigación y desarrollo experimental en ciencias naturales y técnicas;7391 Laboratorios de investigación y desarrollo;;
BLOOMING EXPERIENCE, S.L.;Blooming;727.000,00 €;26/01/2021;Valencia/València;Comunitat Valenciana;B66823287;http://www.winlife.com.au;Agricultura;11-50 empleados;Aalsmeer, Holanda Septentrional;De financiación privada;C/ BOTIGUERS, 3 2B - P.E. EMPRESARIAL TACTICA.  46980, PATERNA, VALENCIA    ;4 años, 9 meses y 1 dia;4622  Comercio al por mayor de flores y plantas;5199 PRODUCTOS DIVERSOS PERECEDEROS SC;501.0;
NOGEBUS, S.L.;NOGEBUS;275.000,00 €;25/01/2021;Girona;Cataluña;B55168439;https://www.nogebus.com/es;Automación industrial;11-50 empleados;Arbúcies, Girona;De financiación privada;CARRETERA SANT HILARI, KM 3,00.  17401, ARBUCIES, GIRONA    ;7 años, 11 meses y 19 dias;" 2920  Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques";3711 Automóviles y carrocerías para vehículos de turismo;17.0;
WOLO REALTECH, S.L.;WOLORENT;195.000,00 €;25/01/2021;Barcelona;Cataluña;B67436600;https://wolorent.com/;Internet;2-10 empleados;Barcelona, Barcelona;De financiación privada;PLAZA PAU VILA, 1 PIER 01, OFICINA 2 A 2.  08003, BARCELONA, BARCELONA    ;1 año, 10 meses y 30 dias;6209  Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;8.0;
IGLUCO TECH, S.L.;SleepControl;180.000,00 €;22/01/2021;Sevilla;Andalucía;;;;;;;;;;;10.0;
YUKAR DIGITAL, S.L.;Cleer;180.000,00 €;22/01/2021;Barcelona;Cataluña;B67559740;;;;;;PLAZA PAU VILA, 1 1 PLANTA, SECTOR AD , OFICINA 1A.  08003, BARCELONA, BARCELONA    ;1 año, 3 meses y 23 dias;6202  Actividades de consultoría informática;7379 Servicios relacionados con computación SC;501.0;4.0
SMARTFINCAS, S.L.;Smartfincas;75.000,00 €;22/01/2021;Barcelona;Cataluña;B67373498;http://www.smartfincas.com;Bienes inmobiliarios;2-10 empleados;Barcelona, Cataluña / Catalunya;De financiación privada;CALLE MESTRE VILARRUBLA, 4 2 PTA.2.  08757, CORBERA DE LLOBREGAT, BARCELONA    ;2 años, 2 meses y 12 dias;6832  Gestión y administración de la propiedad inmobiliaria;6531 Agencias inmobiliarias, administradores de fincas;66.0;1.0
ORDATIC, S.L.;ORDATIC;100.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana;B40573883;https://ordatic.com;Software;11-50 empleados;Valencia, Valencia;De financiación privada;CALLE ROGER LLORIA, 28 2. 46002, VALENCIA, VALENCIA;2 años y 13 dias;6209 Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;20.0;
GAYCON FISCAL, S.L.;GAYCON;300.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de;B84177351;;;;;;CALLE VELAZQUEZ, 53 2º IZQUIERDA.  28001, MADRID, MADRID    ;16 años, 3 meses y 2 dias;7490  Otras actividades profesionales, científicas y técnicas n.c.o.p.;8999 Servicios sc;139.0;
IDENCITV ASESORIA DE CIUDADES, S.L.;IDENCITY;224.000,00 €;20/01/2021;Barcelona;Cataluña;;http://www.idencityconsulting.com;Consultoría de estrategia y operaciones;11-50 empleados;Barcelona, Barcelona;Empresa individual;;;;;109.0;
MIMOTO PARKING, S.L.;MIMOTO PARKING;125.000,00 €;20/01/2021;Madrid;Madrid, Comunidad de;B42588103;http://mimotoparking.com/;Servicios públicos;2-10 empleados;Alicante/Alacant, Comunidad Valenciana / Comunitat Valenciana;De financiación privada;AVENIDA ESPAÑA, 41 3 D.  28220, MAJADAHONDA, MADRID    ;2 años, 9 meses y 5 dias;5221  Actividades anexas al transporte terrestre;4789 OTROS SERVICIOS ANEXOS PARA EL TRANSPORTE SC;68.0;
ZANKYOU VENTURES, S.L.;Zankyou Weddings;300.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B85337053;;;;;;CAMINO FUENTE DE LA MORA, 9 2º A.  28050, MADRID, MADRID    ;13 años, 2 meses y 12 dias;6202  Actividades de consultoría informática;7379 Servicios relacionados con computación SC;40.0;
GENIUS EMOBILITY SYSTEMS, S.L.;Mooevo;200.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B88229968;;;;;;CALLE ENRIQUE LARRETA, 5.  28036, MADRID, MADRID    ;2 años, 5 meses y 8 dias;2711  Fabricación de motores, generadores y transformadores eléctricos;3612 TRANSFORMADORES, DISTRIBUIDORES EXCEPTO PORTATILES;49.0;
CHATARRAS Y METALES JUMILLA, S.L.U.;CHATARRAS JUMILLA;120.000,00 €;19/01/2021;Murcia;Murcia, Región de;;;;;;;;;;;;
IOMED MEDICAL SOLUTIONS, S.L.;IOMED;200.000,00 €;19/01/2021;Barcelona;Cataluña;B66774969;https://iomed.es/;Software;11-50 empleados;Barcelona, Cataluña / Catalunya;De financiación privada;CALLE SANT ANTONI MARIA CLARET, 167 PABELLON S. MANEL.  08041, BARCELONA, BARCELONA   ;4 años, 11 meses y 1 dia;6209  Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;149.0;4.0
PREMIUMGUEST, S.L.;Premium Guest;84.000,00 €;18/01/2021;Barcelona;Cataluña;B67131839;https://www.premiumguest.com;Servicios y tecnologías de la información;11-50 empleados;Barcelona, Barcelona;De financiación privada;PAS. DE LA MONTAÑA, 6 ESC.A P.3 PTA.1.  08860, CASTELLDEFELS, BARCELONA   ;3 años, 3 meses y 3 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;478.0;
MOONSHOT INNOVATION, S.L.;Moonshot;85.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de;B87902573;http://www.moonshotmusic.com;Música;0-1 empleados;Barcelona, Barcelona;Empresa pública;C/ PONIENTE, 33.  28223, POZUELO DE ALARCON, MADRID    ;3 años, 7 meses y 10 dias;6311  Proceso de datos, hosting y actividades relacionadas;7374 Proceso de datos y centros de cálculo;501.0;
ADJUSTICA ROBOTICS, S.L.U.;Ntente;44.000,00 €;15/01/2021;Pontevedra;Galicia;;;;;;;;;;;338.0;1.0
BIO UNICORN, S.L.;Aldous Bio;162.000,00 €;14/01/2021;Cuenca;Castilla - La Mancha;B16340218;;;;;;CALLE LA OLIVA, 37.  16431, ALMONACID DEL MARQUESADO, CUENCA    ;2 años, 8 meses y 28 dias;4711  Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco;5999 DETALLISTAS DIVERSOS SC;55.0;4.0
PROTECHTEDBAGS, S.L.;Bag on Board;500.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87729349;https://bob.io/;Internet;11-50 empleados;Barcelona, Barcelona;De financiación privada;CALLE SERRANO ANGUITA, 13.  28004, MADRID, MADRID    ;4 años, 2 meses y 27 dias;4941  Transporte de mercancías por carretera;4213 Transporte por carretera;501.0;
AFEEDME, S.L.;AFEEDME;152.000,00 €;07/01/2021;Huelva;Andalucía;B21601729;https://afeedme.com/;Software;2-10 empleados;Barcelona, Barcelona;De financiación privada;CALLE NIEBLA, 40 2.  21730, ALMONTE, HUELVA    ;2 años y 7 dias;4611  Intermediarios del comercio de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados;5154 Ganado;1.0;
ESTO ES COMER, S.L.;ESTO ES, COMER COMER;138.000,00 €;23/12/2020;Madrid;Madrid, Comunidad de;B88549449;;;;;;AVENIDA EUROPA, 4 PORTAL 2 - 1º A.  28224, POZUELO DE ALARCON, MADRID    ;1 año, 3 meses y 27 dias;1089  Elaboración de otros productos alimenticios n.c.o.p.;2099 Preparados alimenticios sc;501.0;
TWELVE OAKS PICTURES SL (ANTERIOR FRIKI FILMS), S.L.;TWELVE OAKS PICTURES;145.000,00 €;22/12/2020;Barcelona;Cataluña;;;;;;;;;;;98.0;
TUCUVI CARE, S.L.;Tucuvi;130.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;B95969705;https://tucuvi.com/;Software;2-10 empleados;Madrid, Comunidad de Madrid;De financiación privada;CALLE HERMOSILLA, 48 1º-D.  28001, MADRID, MADRID    ;1 año, 7 meses y 7 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;11.0;
EMPLOYEES ASSISTANCE PROGRAMMMES IBERIA, S.L.;Yees;50.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;;http://www.yees.es;Recursos humanos;11-50 empleados;Madrid, Community of Madrid;De financiación privada;;;;;501.0;1.0
BYLD STARTUPS, S.L.;SONAR CORPORATE BUILDING;137.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;B87817904;;;;;;CALLE VALDERRIBAS, 59 3º 1.  28007, MADRID, MADRID    ;3 años, 11 meses y 11 dias;7022  Otras actividades de consultoría de gestión empresarial;7399 SERVICIOS COMERCIALES SC;;
BIO FRUIT FARMERS, S.L.;BIOFRUIT;210.000,00 €;22/12/2020;Asturias;Asturias, Principado de;B71380067;https://www.bioexport.pe;Agricultura;501-1000 empleados;Miraflores, Lima;De financiación privada;POLIGONO INDUSTRIAL DE CARRALES -, 12.  33344, CARAVIA, ASTURIAS   ;1 año, 9 meses y 3 dias;4631  Comercio al por mayor de frutas y hortalizas;5148 Frutas frescas y verduras;7.0;
SERVICIOS LOGÍSTICOS WANATRUCK, S.L.;Wanatruck;144.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;;http://wanatruck.com;Servicios y tecnologías de la información;2-10 empleados;Madrid, Madrid;De financiación privada;;;;;10.0;
B. CERO CONGELADOS 2011, S.L.;BAJO CERO;270.000,00 €;22/12/2020;Balears, Illes;Balears, Illes;B57945180;http://www.mexicobajocero.com;Construcción;11-50 empleados;Venustiano Carranza, Nuevo León;Asociación;;5 años, 3 meses y 8 dias;4639 Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco;5149 COMESTIBLES Y PRODUCTOS RELACIONADOS SC;501.0;
VALQUIETA, S.L.;LE ROOM SERVICE;300.000,00 €;22/12/2020;Sevilla;Andalucía;B90332479;;;;;;C/ LUIS MONTOTO, 50.  41018, SEVILLA, SEVILLA    ;3 años, 9 meses y 2 dias;5629  Otros servicios de comidas;5812 Restaurantes;333.0;
NORA REAL FOOD, S.L.;NORA REAL FOOD;240.000,00 €;19/12/2020;Barcelona;Cataluña;;;;;;;;;;;10.0;
INSECTFIT, S.L.;InsectFit;123.000,00 €;19/12/2020;Valencia/València;Comunitat Valenciana;B98961246;http://www.trillions.es;Alimentación y bebidas;2-10 empleados;Aldaia, Valencia;De financiación privada;CALLE POLIGONO, 1.  46960, ALDAIA, VALENCIA    ;3 años, 3 meses y 4 dias;4638  Comercio al por mayor de pescados, mariscos y otros productos alimenticios;5146 Pescados y mariscos;1.0;
